"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"22/09/2023","27,300.0","27,750.0","27,950.0","26,750.0","50.58M","-3.87%"
"21/09/2023","28,400.0","28,400.0","29,100.0","28,150.0","42.92M","0.00%"
"20/09/2023","28,400.0","28,150.0","28,550.0","28,050.0","26.60M","0.89%"
"19/09/2023","28,150.0","28,000.0","28,150.0","27,500.0","21.03M","1.99%"
"18/09/2023","27,600.0","27,600.0","28,100.0","27,200.0","20.89M","0.00%"
"15/09/2023","27,600.0","27,900.0","28,100.0","27,600.0","24.75M","-0.72%"
"14/09/2023","27,800.0","28,400.0","28,550.0","27,750.0","34.68M","-2.11%"
"13/09/2023","28,400.0","28,800.0","29,400.0","28,250.0","49.19M","-1.22%"
"12/09/2023","28,750.0","28,000.0","28,750.0","27,700.0","22.62M","2.68%"
"11/09/2023","28,000.0","29,000.0","29,050.0","27,750.0","47.70M","-2.61%"
"08/09/2023","28,750.0","28,500.0","29,150.0","28,400.0","33.79M","0.35%"
"07/09/2023","28,650.0","29,000.0","29,300.0","28,500.0","33.67M","-1.21%"
"06/09/2023","29,000.0","27,750.0","29,000.0","27,400.0","52.57M","4.32%"
"05/09/2023","27,800.0","27,800.0","27,950.0","27,250.0","24.50M","0.72%"
"31/08/2023","27,600.0","27,400.0","27,900.0","27,300.0","25.93M","1.47%"
"30/08/2023","27,200.0","27,000.0","27,250.0","26,750.0","20.14M","0.74%"
"29/08/2023","27,000.0","26,900.0","27,150.0","26,700.0","17.97M","0.56%"
"28/08/2023","26,850.0","26,000.0","26,850.0","26,000.0","22.82M","3.47%"
"25/08/2023","25,950.0","26,200.0","26,400.0","25,950.0","21.85M","-1.33%"
"24/08/2023","26,300.0","25,650.0","26,300.0","25,600.0","16.60M","2.53%"
"23/08/2023","25,650.0","26,350.0","26,450.0","25,650.0","21.77M","-1.91%"
"22/08/2023","26,150.0","26,200.0","26,350.0","25,100.0","35.17M","-0.19%"
"21/08/2023","26,200.0","26,450.0","26,550.0","25,900.0","31.44M","-1.13%"
"18/08/2023","26,500.0","27,900.0","28,000.0","26,200.0","41.05M","-5.69%"
"17/08/2023","28,100.0","28,000.0","28,700.0","28,000.0","46.60M","0.54%"
"16/08/2023","27,950.0","27,950.0","28,000.0","27,650.0","14.99M","0.00%"
"15/08/2023","27,950.0","28,150.0","28,250.0","27,850.0","17.94M","-0.71%"
"14/08/2023","28,150.0","27,800.0","28,350.0","27,650.0","44.95M","1.62%"
"11/08/2023","27,700.0","27,400.0","27,750.0","27,150.0","23.38M","1.28%"
"10/08/2023","27,350.0","27,900.0","27,900.0","27,300.0","17.06M","-1.62%"
"09/08/2023","27,800.0","27,200.0","27,850.0","27,050.0","42.66M","2.21%"
"08/08/2023","27,200.0","27,600.0","27,900.0","27,150.0","25.57M","-1.27%"
"07/08/2023","27,550.0","27,550.0","27,750.0","27,300.0","23.09M","0.73%"
"04/08/2023","27,350.0","26,800.0","27,500.0","26,800.0","22.17M","1.86%"
"03/08/2023","26,850.0","27,350.0","27,500.0","26,500.0","58.03M","-2.36%"
"02/08/2023","27,500.0","27,400.0","27,850.0","27,250.0","18.52M","0.00%"
"01/08/2023","27,500.0","28,100.0","28,100.0","27,500.0","28.01M","-2.48%"
"31/07/2023","28,200.0","28,200.0","28,250.0","27,350.0","45.53M","-0.35%"
"28/07/2023","28,300.0","28,400.0","28,600.0","28,150.0","22.70M","-0.35%"
"27/07/2023","28,400.0","28,400.0","28,700.0","28,100.0","21.32M","0.00%"
"26/07/2023","28,400.0","28,250.0","28,450.0","28,150.0","22.87M","0.53%"
"25/07/2023","28,250.0","28,250.0","28,350.0","28,000.0","20.23M","0.00%"
"24/07/2023","28,250.0","28,450.0","28,600.0","28,000.0","17.16M","-0.53%"
"21/07/2023","28,400.0","28,350.0","28,400.0","28,100.0","18.46M","0.71%"
"20/07/2023","28,200.0","27,300.0","28,200.0","27,300.0","30.87M","2.92%"
"19/07/2023","27,400.0","27,100.0","27,700.0","27,050.0","15.38M","0.74%"
"18/07/2023","27,200.0","27,300.0","27,350.0","27,050.0","12.40M","-0.37%"
"17/07/2023","27,300.0","27,700.0","27,750.0","27,200.0","12.53M","-0.73%"
"14/07/2023","27,500.0","27,150.0","27,500.0","27,050.0","17.08M","1.66%"
"13/07/2023","27,050.0","27,500.0","27,500.0","26,900.0","14.01M","0.19%"
"12/07/2023","27,000.0","27,300.0","27,450.0","26,650.0","27.76M","-1.10%"
"11/07/2023","27,300.0","27,800.0","28,050.0","27,250.0","24.01M","-1.44%"
"10/07/2023","27,700.0","27,450.0","27,950.0","27,350.0","24.27M","0.91%"
"07/07/2023","27,450.0","26,900.0","27,450.0","26,500.0","22.61M","1.67%"
"06/07/2023","27,000.0","26,900.0","27,150.0","26,500.0","27.61M","0.19%"
"05/07/2023","26,950.0","26,400.0","27,200.0","26,250.0","31.80M","2.67%"
